Code,Company,Company name,Category,Market,EPS,NTA,PE,DY,ROE,Market capital
6947,DIGI,DIGI.COM BERHAD,Telecommunications & Media,Main Market,15.70,0.080,24.07,4.81,196.30,29389.50
0155,MGRC,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,Health Care,Ace Market,15.75,0.091,6.99,20.00,172.86,113.86
2836,CARLSBG,CARLSBERG BREWERY MALAYSIA BERHAD,Consumer Products & Services,Main Market,63.20,0.460,34.94,4.53,137.39,6750.92
4707,NESTLE,NESTLE (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,235.41,2.530,58.20,2.04,93.05,32126.50
5835,DOLMITE,DOLOMITE CORPORATION BERHAD,Industrial Products & Services,Main Market,9.63,0.130,1.09,0.00,74.05,43.41
7113,TOPGLOV,TOP GLOVE CORPORATION BHD,Health Care,Main Market,50.37,0.690,13.12,3.78,73.00,54214.36
4162,BAT,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Consumer Products & Services,Main Market,92.10,1.270,14.27,8.98,72.52,3751.86
7106,SUPERMX,SUPERMAX CORPORATION BERHAD,Health Care,Main Market,85.26,1.260,7.82,0.57,67.67,18146.53
3255,HEIM,HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,Main Market,63.29,0.980,36.47,4.68,64.58,6972.42
6399,ASTRO,ASTRO MALAYSIA HOLDINGS BERHAD,Telecommunications & Media,Main Market,9.80,0.192,9.08,8.43,50.93,4640.91
3026,DLADY,DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,Main Market,124.80,2.690,27.93,2.29,46.40,2231.04
5168,HARTA,HARTALEGA HOLDINGS BERHAD,Health Care,Main Market,54.90,1.220,24.11,0.59,45.00,45381.51
0163,CAREPLS,CAREPLUS GROUP BERHAD,Health Care,Ace Market,14.72,0.346,15.96,0.21,42.57,1292.69
1818,BURSA,BURSA MALAYSIA BERHAD,Financial Services,Main Market,46.69,1.110,20.09,5.44,42.06,7588.67
7100,UCHITEC,UCHI TECHNOLOGIES BERHAD,Industrial Products & Services,Main Market,15.70,0.390,19.18,5.32,40.25,1365.40
5250,SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Consumer Products & Services,Main Market,2.97,0.074,44.73,1.73,40.01,1640.40
1724,PARAMON,PARAMOUNT CORPORATION BERHAD,Property,Main Market,84.98,2.310,0.94,0.00,36.79,491.56
5105,CANONE,CAN-ONE BERHAD,Industrial Products & Services,Main Market,330.49,9.160,0.86,2.11,36.08,545.71
2127,COMFORT,COMFORT GLOVES BERHAD,Industrial Products & Services,Main Market,27.40,0.770,11.13,0.49,35.58,1777.99
0150,FINTEC,FINTEC GLOBAL BERHAD,Financial Services,Ace Market,32.01,0.918,0.25,0.00,34.88,250.45
9792,SEG,SEG INTERNATIONAL BHD,Consumer Products & Services,Main Market,3.25,0.095,18.91,4.07,34.20,777.71
7501,HARNLEN,HARN LEN CORPORATION BHD,Plantation,Main Market,49.41,1.650,1.31,15.50,29.95,124.92
5292,UWC,UWC BERHAD,Technology,Main Market,12.41,0.430,106.56,0.15,28.85,7273.64
0138,MYEG,MY E.G. SERVICES BERHAD,Technology,Main Market,7.13,0.247,28.18,1.24,28.83,7380.58
5136,COMPLET,COMPLETE LOGISTIC SERVICES BERHAD,Transportation & Logistics,Main Market,34.74,1.260,1.96,23.53,27.57,86.60
5024,HUPSENG,HUP SENG INDUSTRIES BERHAD,Consumer Products & Services,Main Market,4.80,0.180,19.67,6.35,26.69,756.00
7231,WELLCAL,WELLCALL HOLDINGS BERHAD,Industrial Products & Services,Main Market,5.90,0.243,17.98,4.67,24.26,527.82
6351,AMWAY,AMWAY (MALAYSIA) HOLDINGS BERHAD,Consumer Products & Services,Main Market,32.89,1.390,17.42,4.80,23.66,941.93
5246,WPRTS,WESTPORTS HOLDINGS BERHAD,Transportation & Logistics,Main Market,19.19,0.830,22.92,2.62,23.13,15004.00
0106,REXIT,REXIT BERHAD,Technology,Ace Market,5.28,0.230,19.71,3.85,22.95,196.91
5614,ILB,INTEGRATED LOGISTICS BHD,Transportation & Logistics,Main Market,25.07,1.118,2.15,0.00,22.43,105.31
6139,TAKAFUL,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,Financial Services,Main Market,40.27,1.810,10.73,2.78,22.25,3587.47
0126,MICROLN,MICROLINK SOLUTIONS BERHAD,Technology,Ace Market,5.51,0.250,48.84,0.37,22.03,648.86
7181,ARBB,ARB BERHAD,Technology,Main Market,7.84,0.370,3.51,0.00,21.20,127.97
5296,MRDIY,MR D.I.Y. GROUP (M) BERHAD,Consumer Products & Services,Main Market,7.23,0.085,42.74,0.24,21.19,19394.69
7233,DUFU,DUFU TECHNOLOGY CORP. BERHAD,Industrial Products & Services,Main Market,9.72,0.460,42.50,0.97,21.12,2210.24
0099,SCICOM,SCICOM (MSC) BERHAD,Industrial Products & Services,Main Market,6.30,0.300,17.29,4.59,21.01,387.44
5151,HEXTAR,HEXTAR GLOBAL BERHAD,Industrial Products & Services,Main Market,4.97,0.240,18.61,3.46,20.71,759.13
0186,PTRANS,PERAK TRANSIT BERHAD,Consumer Products & Services,Main Market,6.27,0.311,12.84,3.72,20.14,519.33
0198,GDB,GDB HOLDINGS BERHAD,Construction,Main Market,4.02,0.200,22.76,2.19,20.10,571.88
6012,MAXIS,MAXIS BERHAD,Telecommunications & Media,Main Market,18.16,0.910,26.65,4.13,19.96,37863.50
